Aerolinea;Fecha Salida;Hora Salida;Vuelo Salida;Destino;%LF DEP;Mes;Dia Dep
AVA;1/07/24;4:48:00 a.m.;8475;BOG;20.99%;junio;lunes
AVA;1/07/24;6:40:00 a.m.;9243;BOG;33.70%;junio;lunes
AVA;1/07/24;4:23:00 a.m.;8415;BOG;85.64%;junio;lunes
AVA;1/07/24;5:15:00 a.m.;8435;BOG;17.68%;junio;lunes
AVA;1/07/24;6:14:00 a.m.;9725;BOG;20.99%;junio;lunes
AVA;1/07/24;4:30:00 a.m.;9653;BOG;34.25%;junio;lunes
AVA;1/07/24;5:25:00 a.m.;9245;BOG;46.96%;junio;lunes
AVA;1/07/24;7:38:00 a.m.;8427;BOG;85.08%;julio;lunes
AVA;1/07/24;8:16:00 a.m.;9463;BOG;83.43%;julio;lunes
AVA;1/07/24;8:35:00 a.m.;8451;BOG;94.48%;julio;lunes
AVA;1/07/24;9:02:00 a.m.;9311;BOG;100.55%;julio;lunes
AVA;1/07/24;10:38:00 a.m.;9351;BOG;104.97%;julio;lunes
AVA;1/07/24;1:00:00 p.m.;9329;BOG;101.66%;julio;lunes
AVA;1/07/24;2:57:00 p.m.;9303;BOG;106.63%;julio;lunes
AVA;1/07/24;3:35:00 p.m.;9307;BOG;102.76%;julio;lunes
AVA;1/07/24;5:52:00 p.m.;9313;BOG;102.21%;julio;lunes
AVA;1/07/24;5:24:00 p.m.;9301;BOG;102.76%;julio;lunes
AVA;1/07/24;5:15:00 p.m.;9553;BOG;101.10%;julio;lunes
AVA;1/07/24;6:12:00 p.m.;9343;BOG;102.76%;julio;lunes
AVA;1/07/24;5:48:00 p.m.;9309;BOG;98.34%;julio;lunes
AVA;1/07/24;6:28:00 p.m.;9375;BOG;101.10%;julio;lunes
AVA;1/07/24;6:38:00 p.m.;9333;BOG;100.00%;julio;lunes
AVA;1/07/24;7:56:00 p.m.;9331;BOG;102.21%;julio;lunes
AVA;1/07/24;8:36:00 p.m.;9355;BOG;97.24%;julio;lunes
AVA;1/07/24;9:53:00 p.m.;9327;BOG;94.48%;julio;lunes
AVA;1/07/24;10:26:00 p.m.;9335;BOG;97.24%;julio;lunes
AVA;2/07/24;6:32:00 a.m.;9243;BOG;97.79%;julio;martes
AVA;2/07/24;7:58:00 a.m.;9463;BOG;101.10%;julio;martes
AVA;2/07/24;5:25:00 a.m.;9245;BOG;90.06%;julio;martes
AVA;2/07/24;6:10:00 a.m.;9725;BOG;97.79%;julio;martes
AVA;2/07/24;4:58:00 a.m.;8435;BOG;87.85%;julio;martes
AVA;2/07/24;4:53:00 a.m.;8475;BOG;85.64%;julio;martes
AVA;2/07/24;4:30:00 a.m.;9653;BOG;98.90%;julio;martes
AVA;2/07/24;4:10:00 a.m.;8415;BOG;98.90%;julio;martes
AVA;2/07/24;7:29:00 a.m.;8427;BOG;76.80%;julio;martes
AVA;2/07/24;8:30:00 a.m.;8451;BOG;98.90%;julio;martes
AVA;2/07/24;8:55:00 a.m.;9311;BOG;100.00%;julio;martes
AVA;2/07/24;11:01:00 a.m.;9349;BOG;83.43%;julio;martes
AVA;2/07/24;12:36:00 p.m.;9329;BOG;98.34%;julio;martes
AVA;2/07/24;2:45:00 p.m.;9337;BOG;101.10%;julio;martes
AVA;2/07/24;2:51:00 p.m.;9303;BOG;98.34%;julio;martes
AVA;2/07/24;4:24:00 p.m.;9307;BOG;101.10%;julio;martes
AVA;2/07/24;5:25:00 p.m.;9553;BOG;103.31%;julio;martes
AVA;2/07/24;5:36:00 p.m.;9309;BOG;100.00%;julio;martes
AVA;2/07/24;6:03:00 p.m.;9343;BOG;96.69%;julio;martes
AVA;2/07/24;7:06:00 p.m.;9333;BOG;80.66%;julio;martes
AVA;2/07/24;7:10:00 p.m.;9375;BOG;100.55%;julio;martes
AVA;2/07/24;8:22:00 p.m.;9331;BOG;95.03%;julio;martes
AVA;2/07/24;8:45:00 p.m.;9355;BOG;97.79%;julio;martes
AVA;2/07/24;8:58:00 p.m.;9313;BOG;50.83%;julio;martes
AVA;2/07/24;10:30:00 p.m.;9327;BOG;95.58%;julio;martes
AVA;2/07/24;10:50:00 p.m.;9335;BOG;91.71%;julio;martes
AVA;3/07/24;11:38:00 a.m.;9351;BOG;95.03%;junio;miércoles
AVA;3/07/24;10:06:00 a.m.;9557;BOG;99.45%;julio;miércoles
AVA;3/07/24;4:10:00 a.m.;8445;BOG;80.66%;julio;miércoles
AVA;3/07/24;5:07:00 a.m.;8435;BOG;72.38%;julio;miércoles
AVA;3/07/24;4:36:00 a.m.;9653;BOG;37.57%;julio;miércoles
AVA;3/07/24;4:14:00 a.m.;8415;BOG;45.86%;julio;miércoles
AVA;3/07/24;4:56:00 a.m.;8475;BOG;47.51%;julio;miércoles
AVA;3/07/24;6:44:00 a.m.;9243;BOG;101.66%;julio;miércoles
AVA;3/07/24;7:29:00 a.m.;8427;BOG;103.47%;julio;miércoles
AVA;3/07/24;7:58:00 a.m.;9463;BOG;99.45%;julio;miércoles
AVA;3/07/24;8:30:00 a.m.;8451;BOG;101.10%;julio;miércoles
AVA;3/07/24;9:00:00 a.m.;9311;BOG;102.21%;julio;miércoles
AVA;3/07/24;10:59:00 a.m.;9349;BOG;98.61%;julio;miércoles
AVA;3/07/24;12:39:00 p.m.;9329;BOG;102.21%;julio;miércoles
